Brand,Country,Whiskies,Votes,Rating,WB Ranking,Continente
Aberdeen Angus,Argentina,1,1,55,G,America
La Alazana,Argentina,1,0,49.85,G,America
The Breeder's Choice,Argentina,4,0,49.85,G,America
August 17th,Belgium,2,1,60.33,G,Europa
Biercée,Belgium,1,1,52,G,Europa
Braeckman Distillers,Belgium,1,1,88.27,C,Europa
Coburg 1830,Belgium,1,1,81,D,Europa
Duvel Moortgat,Belgium,2,2,43.73,G,Europa
Fado Vivo,Belgium,1,1,83.67,D,Europa
Geulhems Goud,Belgium,2,1,85,C,Europa
Gold Fusion,Belgium,2,2,86.53,C,Europa
Goldlys,Belgium,30,25,72.81,F,Europa
Gouden Carolus,Belgium,7,6,75.65,E,Europa
Green Douglas,Belgium,1,1,64.77,G,Europa
Kempisch Vuur,Belgium,5,4,73.41,F,Europa
Lambertus,Belgium,6,5,76.62,E,Europa
Pure Taste,Belgium,4,4,79.82,E,Europa
San Graal,Belgium,2,2,71.28,F,Europa
Skot'Tiche,Belgium,1,1,51,G,Europa
Sunken Still,Belgium,1,1,74,F,Europa
The Belgian Owl,Belgium,69,43,78.14,E,Europa
Trinity,Belgium,3,0,49.85,G,Europa
Wild Weasel,Belgium,14,8,72.66,F,Europa
Natu Nobilis,Brazil,2,1,80,D,America
Union Distillery Maltwhisky do Brasil,Brazil,1,1,31,G,America
Wall Street,Brazil,1,0,49.85,G,America
Black Ram,Bulgaria,4,2,60.5,G,Europa
1936,Canada,1,1,80,D,America
8 Seconds,Canada,2,1,68,G,America
Alberta,Canada,12,8,81.05,D,America
Auld Malcolm,Canada,2,0,49.85,G,America
Barton's Canadian,Canada,2,0,49.85,G,America
BC,Canada,1,0,49.85,G,America
Bison Ridge,Canada,2,2,66.5,G,America
Black Mount,Canada,1,1,77.67,E,America
Black Velvet,Canada,18,8,64.59,G,America
Blackwoods,Canada,1,1,33.5,G,America
Bush Pilot's,Canada,1,0,49.85,G,America
C.E.O.,Canada,1,0,49.85,G,America
Caldera,Canada,2,1,83,D,America
Canada House,Canada,1,0,49.85,G,America
Canadian,Canada,1,1,58,G,America
Canadian Club,Canada,68,38,76.22,E,America
Canadian Leaf,Canada,1,0,49.85,G,America
Canadian Mist,Canada,6,4,58.88,G,America
Canadian Mountains,Canada,1,1,82,D,America
Canadian Registry,Canada,1,0,49.85,G,America
Canadian Rockies,Canada,1,1,86,C,America
Canadian Rye,Canada,1,0,49.85,G,America
Canadian Silk,Canada,1,0,49.85,G,America
Canadian Special Old,Canada,1,1,65,G,America
Canadian Tippers,Canada,2,1,46,G,America
Canadian VSP,Canada,1,0,49.85,G,America
Canadian Whiskey,Canada,1,1,71,F,America
Canadian Whisky,Canada,2,1,82,D,America
Caribou Crossing,Canada,2,1,86.5,C,America
Collingwood,Canada,3,2,81.49,D,America
Coyote Ugly,Canada,1,1,70,F,America
Craigdarroch,Canada,1,0,49.85,G,America
Crimson,Canada,1,0,49.85,G,America
Crown Royal,Canada,58,36,77.44,E,America
Danfield's,Canada,2,2,87.38,C,America
Dillon's,Canada,3,1,77,E,America
Eau Claire Distillery,Canada,1,0,49.85,G,America
Ellington Reserve,Canada,1,0,49.85,G,America
Entrapment,Canada,1,1,100,A,America
Fiddler's Choice,Canada,1,1,86,C,America
Forty Creek,Canada,18,16,82.33,D,America
Gibson's Finest,Canada,13,5,79.97,E,America
Glen Breton,Canada,25,11,76.07,E,America
Glenora,Canada,4,3,79.39,E,America
Glynnevan,Canada,2,1,72,F,America
Golden Stag,Canada,1,1,60,G,America
Gooderham & Worts Ltd.,Canada,8,5,83.37,D,America
Gooderham's,Canada,1,1,85.75,C,America
Grand Award,Canada,3,0,49.85,G,America
Grande Canadian,Canada,1,0,49.85,G,America
Guard House,Canada,1,1,55,G,America
GWD - Great West Distillers,Canada,1,0,49.85,G,America
Hamilton,Canada,3,0,49.85,G,America
Harwood,Canada,3,1,70,F,America
Highspire,Canada,1,0,49.85,G,America
Highwood Distillers,Canada,10,6,81.32,D,America
Hiram Walker,Canada,12,3,78.69,E,America
J.P. Wiser's,Canada,24,15,79.79,E,America
Jack Russell,Canada,1,0,49.85,G,America
Kindilan,Canada,1,0,49.85,G,America
Kittling Ridge,Canada,2,0,49.85,G,America
Laird of Fintry,Canada,1,0,49.85,G,America
Last Mountain,Canada,4,3,77.5,E,America
Liquormen’s Ol’ Dirty Canadian Whisky,Canada,1,0,49.85,G,America
Lock Stock & Barrel,Canada,5,3,84.73,D,America
Lohin McKinnon,Canada,1,1,77,E,America
Long Wood,Canada,3,3,66.93,G,America
Lord Calvert,Canada,5,2,75.84,E,America
Lot No. 40,Canada,7,6,82.5,D,America
Lucky Bastard,Canada,3,2,84.5,D,America
Macaloney's,Canada,3,0,49.85,G,America
MacNaughton,Canada,4,2,76.75,E,America
Maple Leaf,Canada,1,1,36.67,G,America
Mapleshade,Canada,1,0,49.85,G,America
Masterson's,Canada,13,10,84.79,D,America
McGuinness Distillers,Canada,3,0,49.85,G,America
McLoughlin & Steel,Canada,2,0,49.85,G,America
Mt. Logan,Canada,2,0,49.85,G,America
Naked,Canada,1,1,70,F,America
Ninety,Canada,2,2,82.93,D,America
North of 7 Whisky,Canada,3,1,85,C,America
Odd Society,Canada,1,0,49.85,G,America
Okanagan Spirits,Canada,4,1,83,D,America
Old Canada,Canada,4,2,58.79,G,America
Pemberton Distillery,Canada,5,2,82,D,America
Pendleton,Canada,5,3,71.39,F,America
Persian Empire,Canada,1,0,49.85,G,America
Pike Creek,Canada,7,7,80.98,D,America
Potter,Canada,7,6,83.18,D,America
Railspur No. 1,Canada,2,0,49.85,G,America
Revel Stoke,Canada,2,1,55,G,America
Rich & Rare,Canada,1,1,82,D,America
Royal Canadian,Canada,5,3,73.5,F,America
Royal Charter,Canada,1,0,49.85,G,America
Royal Crown,Canada,1,1,81,D,America
Royal Reserve,Canada,2,0,49.85,G,America
Sam Barton,Canada,2,1,70,F,America
Schenley,Canada,16,3,75.67,E,America
Seagram's,Canada,41,18,75.39,E,America
Shefford Manor,Canada,1,1,67,G,America
Shelter Point,Canada,7,3,86.89,C,America
Shenton A. L.,Canada,1,0,49.85,G,America
Stalk & Barrel,Canada,26,17,79.97,E,America
Tangle Ridge,Canada,1,1,71,F,America
TAP,Canada,3,2,70.94,F,America
Toronto Distillery Co.,Canada,3,0,49.85,G,America
Two Brewers,Canada,8,2,86,C,America
Wayne Gretzky No.99,Canada,5,4,82.54,D,America
Wild Oak,Canada,1,1,81,D,America
Windsor,Canada,3,1,74,F,America
Wiser's,Canada,15,10,80.71,D,America
Yukon Jack,Canada,1,0,49.85,G,America
Old Havana,Cuba,1,1,45,G,America
Gold Cock,Czech Republic,33,26,85.93,C,Europa
Gold King Whisky,Czech Republic,1,0,49.85,G,Europa
Hammer Head,Czech Republic,5,4,77.46,E,Europa
King Barley,Czech Republic,2,0,49.85,G,Europa
King Barleycorn,Czech Republic,1,0,49.85,G,Europa
Kord's,Czech Republic,1,0,49.85,G,Europa
Old Well,Czech Republic,1,1,86,C,Europa
Printer's,Czech Republic,2,1,57.25,G,Europa
Stock Plzeň,Czech Republic,2,0,49.85,G,Europa
Trebitsch,Czech Republic,9,1,67,G,Europa
Braunstein,Denmark,33,27,79.65,E,Europa
Brænderiet Limfjorden,Denmark,1,0,49.85,G,Europa
Cloc Whisky,Denmark,2,1,79,E,Europa
Enghaven,Denmark,1,1,61,G,Europa
Fary Lochan,Denmark,22,15,79.66,E,Europa
Isfjord,Denmark,2,0,49.85,G,Europa
Mikkeller Spirits,Denmark,1,0,49.85,G,Europa
Nordisk Brænderi,Denmark,1,1,82,D,Europa
Nyborg,Denmark,6,2,81,D,Europa
